Taxa,longitude,latitude
Macrocystis,145.531357,-40.888511
Macrocystis,145.53636,-40.8905
Macrocystis,145.581353,-40.898506
Macrocystis,145.541357,-40.898511
Macrocystis,144.65137,-40.898525
Macrocystis,144.64969,-40.89886
Macrocystis,176.232162,-40.900848
Macrocystis,144.63139,-40.901489
Macrocystis,145.581353,-40.908514
Macrocystis,145.58836,-40.9155
Macrocystis,174.97807,-40.91660794
Macrocystis,145.611361,-40.918508
Macrocystis,145.61935,-40.9245
Macrocystis,144.611378,-40.928526
Macrocystis,144.616,-40.9316
Macrocystis,145.711355,-40.938505
Macrocystis,145.72037,-40.9435
Macrocystis,174.16638,-40.97306
Macrocystis,147.021336,-40.978495
Macrocystis,148.341306,-40.988475
Macrocystis,144.611372,-40.998521
Macrocystis,144.61076,-41.00586
Macrocystis,146.871334,-41.018494
Macrocystis,144.617091,-41.018977
Macrocystis,174.892209,-41.029193
Macrocystis,174.28703,-41.03926
Macrocystis,146.73749,-41.04788
Macrocystis,146.781342,-41.048499
Macrocystis,145.900265,-41.053145
Macrocystis,146.79001,-41.05436
Macrocystis,146.791341,-41.058499
Macrocystis,146.701335,-41.058499
Macrocystis,146.7905,-41.06547
Macrocystis,146.641339,-41.098495
Macrocystis,146.07135,-41.098509
Macrocystis,146.101352,-41.108502
Macrocystis,174.32448,-41.11205
Macrocystis,146.131351,-41.128505
Macrocystis,146.421343,-41.138505
Macrocystis,146.42592,-41.14274
Macrocystis,146.301346,-41.148506
Macrocystis,146.917753,-41.153971
Macrocystis,146.576339,-41.156828
Macrocystis,146.166652,-41.15981
Macrocystis,148.284336,-41.169377
Macrocystis,174.311222,-41.176577
Macrocystis,148.281535,-41.177206
Macrocystis,146.358594,-41.178142
Macrocystis,146.332453,-41.182208
Macrocystis,174.29774,-41.20801
Macrocystis,148.281309,-41.208479
Macrocystis,174.884263,-41.230608
Macrocystis,174.687528,-41.232711
Macrocystis,174.16087,-41.23755
Macrocystis,148.313687,-41.247447
Macrocystis,148.311307,-41.248477
Macrocystis,148.33131,-41.248482
Macrocystis,148.316423,-41.250671
Macrocystis,148.339662,-41.251267
Macrocystis,148.322747,-41.25176
Macrocystis,148.341001,-41.251954
Macrocystis,148.334097,-41.252881
Macrocystis,148.337256,-41.262059
Macrocystis,148.351307,-41.26848
Macrocystis,148.354456,-41.273514
Macrocystis,148.357517,-41.276054
Macrocystis,148.361305,-41.278477
Macrocystis,148.356345,-41.280217
Macrocystis,148.358722,-41.282443
Macrocystis,148.353946,-41.286252
Macrocystis,174.83595,-41.297417
Macrocystis,174.13713,-41.30915
Macrocystis,175.853061,-41.322196
Macrocystis,174.84165,-41.324317
Macrocystis,174.838328,-41.328407
Macrocystis,148.331313,-41.338484
Macrocystis,148.341318,-41.348483
Macrocystis,174.736519,-41.348979
Macrocystis,148.308138,-41.359191
Macrocystis,175.04944,-41.373655
Macrocystis,148.293718,-41.399031
Macrocystis,144.745286,-41.420936
Macrocystis,148.277447,-41.436012
Macrocystis,148.273629,-41.501447
Macrocystis,148.292699,-41.557238
Macrocystis,148.297908,-41.557928
Macrocystis,-73.653388,-41.602275
Macrocystis,-73.563858,-41.608528
Macrocystis,144.925872,-41.66748
Macrocystis,145.026678,-41.808992
Macrocystis,148.311322,-41.868479
Macrocystis,148.301321,-41.868485
Macrocystis,148.301319,-41.878482
Macrocystis,148.311321,-41.89848
Macrocystis,145.172511,-41.930102
Macrocystis,-74.03542778,-41.95323611
Macrocystis,-73.453658,-42.038261
Macrocystis,148.075899,-42.117131
Macrocystis,148.083809,-42.128832
Macrocystis,148.08296,-42.142619
Macrocystis,148.084798,-42.166924
Macrocystis,145.161398,-42.188521
Macrocystis,145.181391,-42.188524
Macrocystis,148.067189,-42.192773
Macrocystis,145.166126,-42.197604
Macrocystis,145.191387,-42.198517
Macrocystis,148.041332,-42.208482
Macrocystis,145.181387,-42.208517
Macrocystis,173.864181,-42.218272
Macrocystis,148.251335,-42.288483
Macrocystis,148.281331,-42.288485
Macrocystis,148.271337,-42.288488
Macrocystis,148.231335,-42.308485
Macrocystis,145.191395,-42.308523
Macrocystis,148.161335,-42.408488
Macrocystis,173.709139,-42.430957
Macrocystis,148.001337,-42.438492
Macrocystis,148.001345,-42.498489
Macrocystis,-74.186225,-42.51032222
Macrocystis,147.961344,-42.518491
Macrocystis,147.941343,-42.548493
Macrocystis,148.061348,-42.558485
Macrocystis,148.08134,-42.568483
Macrocystis,148.061347,-42.56849
Macrocystis,148.101339,-42.578487
Macrocystis,148.051342,-42.578489
Macrocystis,147.911342,-42.57849
Macrocystis,148.041346,-42.588486
Macrocystis,148.121344,-42.588487
Macrocystis,147.928594,-42.593971
Macrocystis,148.041342,-42.598491
Macrocystis,-73.755145,-42.620253
Macrocystis,148.021341,-42.628489
Macrocystis,147.931352,-42.62849
Macrocystis,147.97135,-42.638488
Macrocystis,148.11134,-42.658486
Macrocystis,148.131337,-42.658488
Macrocystis,148.001346,-42.658492
Macrocystis,-74.16698971,-42.66681095
Macrocystis,147.960533,-42.681353
Macrocystis,147.95978,-42.681458
Macrocystis,148.011348,-42.718488
Macrocystis,147.951357,-42.868491
Macrocystis,147.971347,-42.87849
Macrocystis,147.995821,-42.935917
Macrocystis,147.981358,-42.968491
Macrocystis,145.5014,-42.97852
Macrocystis,-64.309639,-42.979695
Macrocystis,147.951354,-42.988493
Macrocystis,147.331371,-43.0285
Macrocystis,147.341362,-43.048498
Macrocystis,173.069931,-43.048522
Macrocystis,147.337481,-43.056603
Macrocystis,147.941359,-43.05849
Macrocystis,147.331372,-43.058496
Macrocystis,147.351365,-43.0585
Macrocystis,147.948868,-43.059399
Macrocystis,145.680719,-43.067426
Macrocystis,145.711403,-43.108514
Macrocystis,147.951357,-43.128492
Macrocystis,147.861363,-43.128494
Macrocystis,147.401373,-43.128501
Macrocystis,147.972389,-43.144611
Macrocystis,147.861361,-43.148493
Macrocystis,147.411371,-43.178497
Macrocystis,147.421377,-43.248499
Macrocystis,147.283333,-43.266667
Macrocystis,147.141376,-43.268503
Macrocystis,147.161377,-43.278499
Macrocystis,147.141373,-43.288502
Macrocystis,147.284726,-43.297037
Macrocystis,145.891398,-43.298516
Macrocystis,145.841401,-43.30852
Macrocystis,145.991403,-43.328517
Macrocystis,145.961406,-43.328519
Macrocystis,146.091398,-43.338513
Macrocystis,146.081405,-43.338514
Macrocystis,146.041398,-43.338519
Macrocystis,146.001403,-43.338519
Macrocystis,146.1414,-43.358511
Macrocystis,145.911408,-43.358516
Macrocystis,145.9667,-43.3667
Macrocystis,-74.10833333,-43.39452778
Macrocystis,145.971402,-43.408514
Macrocystis,172.713995,-43.429795
Macrocystis,146.011408,-43.458517
Macrocystis,146.991388,-43.5185
Macrocystis,146.141398,-43.518518
